"Year","Round","Region Number","Region Name","Home_Seed","Home_Score","Home_Team","Away_Team","Away_Score","Away_Seed","Home_Conference","Away_Conference"
"2019","2","4","Midwest","1","81","North Carolina","Washington","59","9","ACC","P12"
"2019","3","1","South","2","80","Michigan St","LSU","63","3","B10","SEC"
"2019","3","1","South","1","75","Duke","Virginia Tech","73","4","ACC","ACC"
"2019","3","2","West","2","44","Michigan","Texas Tech","63","3","B10","B12"
"2019","3","2","West","1","72","Gonzaga","Florida St","58","4","WCC","ACC"
"2019","3","3","East","2","94","Tennessee","Purdue","99","3","SEC","B10"
"2019","3","3","East","1","53","Virginia","Oregon","49","12","ACC","P12"
"2019","3","4","Midwest","2","62","Kentucky","Houston","58","3","SEC","Amer"
"2019","3","4","Midwest","1","80","North Carolina","Auburn","97","5","ACC","SEC"
"2019","4","1","South","1","67","Duke","Michigan St","68","2","ACC","B10"
"2019","4","2","West","1","69","Gonzaga","Texas Tech","75","3","WCC","B12"
"2019","4","3","East","1","80","Virginia","Purdue","75","3","ACC","B10"
"2019","4","4","Midwest","5","77","Auburn","Kentucky","71","2","SEC","SEC"
"2019","5","1","Final Four","2","51","Michigan St","Texas Tech","61","3","B10","B12"
"2019","5","2","Final Four","1","63","Virginia","Auburn","62","5","ACC","SEC"
"2019","6","1","Championship","3","77","Texas Tech","Virginia","85","1","B12","ACC"
